data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
28/02/2010;14:48:00;51;sem vitima;51,3;BR-392/RS;Norte;Abalr.Sentido Oposto;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0
28/02/2010;16:05:00;60;com vitima;81;BR-293/RS;Norte;Saida de Pista;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0
01/03/2010;01:50:00;8;sem vitima;76,6;BR-293/RS;Norte;Saida de Pista;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
01/03/2010;20:10:00;98;sem vitima;521,4;BR-116/RS;Norte;Atropelamento de Animal;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
04/03/2010;14:23:00;58;com vitima;27,6;BR-392/RS;Norte;Abalr.Transversal;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0
04/03/2010;18:33:00;85;com vitima;117,6;BR-392/RS;Norte;Saida de Pista;2;0;1;0;0;0;0;0;0;0;0;3;0;0;0
04/03/2010;15:55:00;63;com vitima;602,5;BR-116/RS;Sul;Saida de Pista;2;0;1;0;0;0;0;0;0;0;0;3;6;0;0
05/03/2010;16:17:00;77;sem vitima;1,4;BR-392/RS;Sul;Colisao Traseira;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
05/03/2010;06:52:00;11;com vitima;7,1;BR-392/RS;Norte;Saida de Pista;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0
05/03/2010;20:52:00;105;com vitima;104,6;BR-293/RS;Norte;Saida de Pista;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0
06/03/2010;11:01:00;44;sem vitima;49,3;BR-392/RS;Norte;Colisao Traseira;1;0;1;0;0;0;0;0;0;0;3;0;0;0;0
06/03/2010;02:55:00;11;sem vitima;50,2;BR-392/RS;Norte;Saida de Pista;1;0;1;0;0;0;0;0;0;0;5;0;0;0;0
07/03/2010;02:24:00;10;sem vitima;22;BR-392/RS;Norte;Saida de Pista;1;0;1;0;0;0;0;0;0;0;4;0;0;0;0
07/03/2010;18:44:00;78;sem vitima;30,2;BR-392/RS;Sul;Abalr.Mesmo Sentido;2;0;1;0;0;0;0;0;0;0;4;0;0;0;0
09/03/2010;08:24:00;21;com vitima;433,7;BR-116/RS;Sul;Saida de Pista;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0
09/03/2010;20:49:00;94;sem vitima;193,9;BR-392/RS;Sul;Tombamento;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
10/03/2010;16:11:00;64;sem vitima;108,5;BR-392/RS;Norte;Outros tipos de acidente;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
10/03/2010;05:16:00;13;sem vitima;134,5;BR-392/RS;Norte;Colisao Traseira;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
11/03/2010;18:24:00;102;com vitima;107,4;BR-392/RS;Sul;Abalr.Mesmo Sentido;1;0;1;0;0;0;0;0;0;0;3;0;1;0;0
